prospect,category,tier,location,machine_on_site,contact_name,contact_role,phone,qualified_date,box_sent_date,box_code,followup_call_date,outcome,monthly_value,notes
ForestrySA (existing),Government/Forestry,0,Adelaide SA,yes,,,,,,,,"active account",,Ask for testimonial + naming permission + referrals + machine servicer name
ForestrySA machine servicer,Machine vendor,0,,,,,,,,,,,Get name from ForestrySA
Own customer list B2B email,Warm,0,,,,,,,,,,,"Does your work buy coffee?" email to consented list
BizCup,Machine vendor,1,Keswick SA,,,,,,,,,,Supplies own beans - partner or map their client type
PureBean Adelaide,Machine vendor,1,Adelaide SA,,,,,,,,,,Supply-partner pitch
Complete Coffee,Machine vendor,1,Adelaide SA,,,,,,,,,,Currently supplies Di Stefano/Primo - pitch SA-local option
Complete Cafe Services,Machine vendor,1,Unley SA,,,,,,,,,,Showroom visit with samples
First Choice Coffee Services,Machine vendor,1,,,,,,,,,,,Bean-to-cup equipment provider
OneFortyOne (Jubilee Sawmill),Forestry/Timber,2,Mount Gambier SA,,,,,,,,,,~400 staff + 400 contractors
Timberlink,Forestry/Timber,2,Tarpeena SA,,,,,,,,,,Major Green Triangle mill
Green Triangle Forest Industries Hub,Forestry/Timber,2,Mount Gambier SA,,,,,,,,,,Network body - ask for intros
SA Timber Processors Association members,Forestry/Timber,2,Limestone Coast SA,,,,,,,,,,Free-box wave to member mills
Forestry Corporation NSW,Forestry/Timber,2,NSW,,,,,,,,,,Post box + ForestrySA story
Sustainable Timber Tasmania,Forestry/Timber,2,TAS,,,,,,,,,,Post box + ForestrySA story
HQPlantations,Forestry/Timber,2,QLD,,,,,,,,,,Post box + ForestrySA story
Stoney Pinch,Civil/Earthmoving,3,Adelaide + Riverland SA,,,,,,,,,,
Davison Earthmovers,Civil/Earthmoving,3,Adelaide SA,,,,,,,,,,Since 1986; government sector work
Adelaide Earthmoving Contractors,Civil/Earthmoving,3,Adelaide SA,,,,,,,,,,
WOW Earthmoving,Civil/Earthmoving,3,Adelaide SA,,,,,,,,,,
South Australian Earthworks,Civil/Earthmoving,3,Adelaide SA,,,,,,,,,,
Kalkan,Civil/Earthmoving,3,Adelaide SA,,,,,,,,,,
Digsa,Civil/Earthmoving,3,Adelaide SA,,,,,,,,,,
GSC Earthmoving,Civil/Earthmoving,3,Adelaide SA,,,,,,,,,,
Hallett Group / Hallett Concrete,Concrete/Quarries,3,SA state-wide,,,,,,,,,,SA's largest; ~100 truck drivers on rotation; multiple batching plants
Boral SA,Concrete/Quarries,3,Seacliff Park + metro SA,,,,,,,,,,Linwood Quarry + concrete plants
Premix Concrete,Concrete/Quarries,3,Metro Adelaide SA,,,,,,,,,,30+ years metro Adelaide
Mantina Quarries & Concrete,Concrete/Quarries,3,Pooraka/Kapunda/Two Wells SA,,,,,,,,,,Family owned; 3 plants + quarry
RAW Traffic,Traffic/Labour,3,Adelaide SA,,,,,,,,,,SA + Aboriginal owned; 90+ controllers; local-story pairing
All Set Traffic Solutions,Traffic/Labour,3,Ferryden Park + Morphett Vale SA,,,,,,,,,,
KMS Traffic Solutions,Traffic/Labour,3,Adelaide SA,,,,,,,,,,
Altus Traffic,Traffic/Labour,3,Adelaide SA,,,,,,,,,,National firm with Adelaide ops
Argus Labour & Traffic,Traffic/Labour,3,Adelaide SA,,,,,,,,,,
MC Labour,Traffic/Labour,3,Adelaide SA,,,,,,,,,,Induction-pack idea: drip bag per new starter
Workforce Extensions,Traffic/Labour,3,Adelaide SA,,,,,,,,,,
Emmetts (John Deere),Ag machinery,3,15 branches Vic/SA,,,,,,,,,,Showroom + workshop + farmer gift-pack collab
Northeast Truck & Farm Machinery,Ag machinery,3,SA,,,,,,,,,,
John Deere dealer locator sweep SA,Ag machinery,3,Regional SA,,,,,,,,,,dealerlocator.deere.com
Case IH dealer locator sweep SA,Ag machinery,3,Regional SA,,,,,,,,,,caseih.com dealer locator
Jarvis Group,Dealerships,4,Multiple Adelaide sites,yes,,,,,,,,,One of Australia's largest private auto groups
CMI Toyota,Dealerships,4,Multiple Adelaide sites,yes,,,,,,,,,SA's #1 Toyota dealer
BELCAR Group,Dealerships,4,Adelaide SA,yes,,,,,,,,,Multi-franchise 40+ years
Adelaide City Automotive Group,Dealerships,4,Thebarton SA,yes,,,,,,,,,
Adelaide Vehicle Centre,Dealerships,4,Adelaide SA,yes,,,,,,,,,Largest independent used dealer SA
Zagame Adelaide,Dealerships,4,Adelaide SA,yes,,,,,,,,,Prestige brands; showroom coffee matters
Caravan/camping dealerships sweep,Dealerships,4,Adelaide + regional SA,,,,,,,,,,Double win: showroom beans + retail drip packs (customers = DTC audience)
Stone & Chalk (Lot Fourteen),Coworking,5,Adelaide CBD,,,,,,,,,,45+ companies one kitchen
CORE Innovation Hub (Lot Fourteen),Coworking,5,Adelaide CBD,,,,,,,,,,
WOTSO Adelaide,Coworking,5,Adelaide,,,,,,,,,,
Spaces (7 Adelaide centres),Coworking,5,Adelaide,,,,,,,,,,Multi-site deal potential
DEW / NPWS ranger depots,Government,6,SA state-wide,,,,,,,,,,ForestrySA reference opens this door
SA Water field crews,Government/Utility,6,SA state-wide,,,,,,,,,,
SA Power Networks depots,Government/Utility,6,SA state-wide,,,,,,,,,,
DIT road depots,Government,6,SA state-wide,,,,,,,,,,
Nearest 10 council works depots,Government,6,Metro/regional SA,,,,,,,,,,Depot managers buy on card under tender thresholds
Regional Landscape Boards,Government,6,Regional SA,,,,,,,,,,
Local CFS/SES units,Community,6,Local SA,,,,,,,,,,Sponsor brigade coffee - goodwill in exact demographic
